ranking	app_name	publisher	ranking_type	ranking_change	has_in_app_purchases	report_date
1	Bad Piggies	Rovio Entertainment Ltd	Free	=	1	2013-07-06
1	Words With Friends	Zynga Inc.	Paid	=	1	2013-07-06
1	Candy Crush Saga	King.com Limited	Grossing	=	1	2013-07-06
2	4 Pics 1 Song	Game Circus LLC	Free	▲2	1	2013-07-06
2	Minecraft – Pocket Edition	Mojang	Paid	=	0	2013-07-06
2	Clash of Clans	Supercell	Grossing	=	1	2013-07-06
3	Candy Crush Saga	King.com Limited	Free	=	1	2013-07-06
3	Heads Up!	Warner Bros.	Paid	=	1	2013-07-06
3	MARVEL War of Heroes	Mobage, Inc.	Grossing	▲2	1	2013-07-06
4	Despicable Me: Minion Rush	Gameloft	Free	▼2	1	2013-07-06
4	Run with Map My Run+ - GPS Running, Jog, Walk, Workout Tracking and Calorie Counter	MapMyFitness	Paid	▲16	1	2013-07-06
4	Pandora Radio	Pandora Media, Inc.	Grossing	▼1	1	2013-07-06
5	High School Story	Pixelberry Studios	Free	▲1	1	2013-07-06
5	Smart Alarm Clock: sleep cycles & noise recording	Plus Sports	Paid	▼1	0	2013-07-06
5	Big Fish Casino – Free Slots, Blackjack, Roulette, Poker and More!	Big Fish Games, Inc	Grossing	▲8	1	2013-07-06
6	Vine	Vine Labs, Inc.	Free	▲1	0	2013-07-06
6	AfterLight	Simon Filip	Paid	▼1	1	2013-07-06
6	Hay Day	Supercell	Grossing	▼2	1	2013-07-06
7	Battery Saver - Improve the Battery Life	KS Mobile, Inc.	Free	▲186	0	2013-07-06
7	Where's My Mickey?	Disney	Paid	▼1	1	2013-07-06
7	The Simpsons™: Tapped Out	Electronic Arts	Grossing	▼1	1	2013-07-06
8	Beemo - Adventure Time	Cartoon Network	Free	▲18	0	2013-07-06
8	iTheme - Themes for iPhone, iPad and iPod Touch	novitap GmbH	Paid	▼1	1	2013-07-06
8	The Hobbit: Kingdoms of Middle-earth	Kabam	Grossing	=	1	2013-07-06
9	Where's My Mickey? Free	Disney	Free	▼1	0	2013-07-06
9	Pimp Your Screen	Apalon	Paid	▲1	1	2013-07-06
9	Minecraft – Pocket Edition	Mojang	Grossing	=	0	2013-07-06
10	Tap Words™	Real Latte	Free	▼5	1	2013-07-06
10	Plants vs. Zombies	PopCap	Paid	▼1	1	2013-07-06
10	Words With Friends	Zynga Inc.	Grossing	▲2	1	2013-07-06
11	Colormania - Guess the Colors	Genera Mobile	Free	▼2	1	2013-07-06
11	Kick the Buddy: No Mercy	Crustalli	Paid	▼3	1	2013-07-06
11	Zoosk - #1 dating app	Zoosk, Inc.	Grossing	=	1	2013-07-06
12	Snapchat	Snapchat, Inc.	Free	▼2	0	2013-07-06
12	Survivalcraft	Igor Kalicinski	Paid	=	0	2013-07-06
12	Pet Rescue Saga	King.com Limited	Grossing	▲3	1	2013-07-06
13	Google Maps	Google, Inc.	Free	=	0	2013-07-06
13	Fitness Buddy : 1700+ Exercise Workout Journal	Azumio Inc.	Paid	▼2	0	2013-07-06
13	MLB.com At Bat	MLB.com	Grossing	▲1	1	2013-07-06
14	Instagram	Burbn, Inc.	Free	▼2	0	2013-07-06
14	Map My Ride+ - GPS Cycling, Riding, Workout Tracking and Calorie Counter	MapMyFitness	Paid	▲32	1	2013-07-06
14	Slotomania - Slot Machines	Playtika LTD	Grossing	▲6	1	2013-07-06
15	Groupon	Groupon, Inc.	Free	=	0	2013-07-06
15	djay 2 for iPhone	algoriddim	Paid	▼1	0	2013-07-06
15	Megapolis	Social Quantum	Grossing	▲3	1	2013-07-06
16	Bus Derby	Dimension Technics	Free	▼5	1	2013-07-06
16	Bloons TD 5	Ninja Kiwi	Paid	=	1	2013-07-06
16	Kingdoms of Camelot: Battle for the North	Kabam	Grossing	▼6	1	2013-07-06
17	ESPN Fantasy Football	ESPN	Free	▲4	0	2013-07-06
17	Free Music Download Pro - Downloader and Player	Alfadevs	Paid	▼4	0	2013-07-06
17	Poker by Zynga	Zynga Inc.	Grossing	▲2	1	2013-07-06
18	Lumosity Mobile	Lumos Labs, Inc.	Free	▲1	1	2013-07-06
18	Walk with Map My Walk+ - GPS Pedometer for Walking, Jogging, Running, Workout Tracking and Calorie Counter	MapMyFitness	Paid	▲34	1	2013-07-06
18	Modern War	Funzio, Inc	Grossing	▼2	1	2013-07-06
19	Gone Fishing	Drimmi LLC	Free	▼5	1	2013-07-06
19	Gravity Falls Mystery Shack Attack	Disney	Paid	▼4	0	2013-07-06
19	Despicable Me: Minion Rush	Gameloft	Grossing	▼2	1	2013-07-06
20	YouTube	Google, Inc.	Free	▼4	0	2013-07-06
20	Contra: Evolution	PunchBox Studios	Paid	▼3	1	2013-07-06
20	High School Story	Pixelberry Studios	Grossing	▲3	1	2013-07-06
21	Hungry Shark Evolution	Future Games of London	Free	▲7	1	2013-07-06
21	Camera+	tap tap tap	Paid	▼3	1	2013-07-06
21	Dragon City Mobile	Social Point	Grossing	▲1	1	2013-07-06
22	Ask.fm	Ask.fm	Free	▼2	0	2013-07-06
22	Free Music Download Pro - Mp3 Downloader	ASPS Apps	Paid	▼3	0	2013-07-06
22	Crime City	Funzio, Inc	Grossing	▼15	1	2013-07-06
23	Can You Escape	Kaarel Kirsipuu	Free	▼5	1	2013-07-06
